,run,sample,assembler,reference,LSA,breadth_of_coverage,multiplicity,validity,parsimony,identity,lowest_identity,L90,contigs,NA50,NG50,basepairs,Ns,misassembled contigs,misassembly events,distribution,type,algorythm
1384,run3,ENN,MEGAHIT,Salmonella_enterica,0.07920023463436915,0.9810111716045352,1.0012429958341222,0.9999347659584389,1.001308315222373,0.99915801367803,0.9295824486907289,47.0,103.0,117581.0,117581.0,4669364.0,0.0,0.0,0.0,Even,Metagenomic,Multiple k-mer De Bruijn graph
1385,run3,ENN,MetaHipMer2,Salmonella_enterica,0.05948510697839759,0.9751255634229221,1.0010785655035712,0.9999928977104586,1.0010856755038944,0.9999849312495144,0.9978815803410656,86.0,161.0,60329.0,58958.0,4641350.0,0.0,0.0,0.0,Even,Metagenomic,Multiple k-mer De Bruijn graph
1386,run3,ENN,metaSPAdes,Salmonella_enterica,0.11137253962711456,0.9820704718276984,1.0001257913839747,0.9999604293225992,1.0001653686051233,0.9980986922913357,0.9348694316436252,25.0,56.0,198784.0,198784.0,4674406.0,0.0,0.0,0.0,Even,Metagenomic,Multiple k-mer De Bruijn graph
1387,run3,ENN,MINIA,Salmonella_enterica,0.011955679987965744,0.8037515027062369,1.0023663933974147,1.0,1.0023663933974147,0.9999811961335805,0.9934354485776805,0.0,1083.0,4996.0,3551.0,3825653.0,0.0,0.0,0.0,Even,Genomic,Single k-mer De Bruijn graph
1388,run3,ENN,SKESA,Salmonella_enterica,0.031121828769854525,0.9593946819851311,1.001434366770868,0.9916939310528184,1.0098220180774011,0.9963459137322415,0.2217846961586579,144.0,245.0,37980.0,37661.0,4566475.0,0.0,2.0,2.0,Even,Genomic,Multiple k-mer De Bruijn graph
1389,run3,ENN,SPAdes,Salmonella_enterica,0.11135342095985794,0.9693809291504211,1.000159297547663,0.9999982664283006,1.0001610313985219,0.9992928194902245,0.9871677360219981,46.0,91.0,103636.0,103102.0,4614007.0,0.0,0.0,0.0,Even,Genomic,Multiple k-mer De Bruijn graph
1390,run3,ENN,Unicycler,Salmonella_enterica,0.07713247723723073,0.9743706912091528,1.000000215621474,1.0,1.000000215621474,0.9997130515460523,0.9911444141689373,35.0,89.0,157802.0,155040.0,4637757.0,0.0,0.0,0.0,Even,Genomic,Multiple k-mer De Bruijn graph
1391,run3,ENN,VelvetOptimiser,Salmonella_enterica,0.011955679987965744,0.8125299123104468,1.002199131414198,1.0,1.002199131414198,0.9999821109306636,0.9919404835709857,0.0,1049.0,5223.0,3753.0,3867436.0,0.0,0.0,0.0,Even,Genomic,Multiple k-mer De Bruijn graph
1392,run3,ENN,ABySS,Staphylococcus_aureus,0.35038362795077205,0.9908514112947719,1.0064631035889509,1.0,1.0064631035889509,0.999875592929677,0.999106839060905,10.0,20.0,281333.0,281333.0,2693907.0,0.0,0.0,0.0,Even,Genomic,Single k-mer De Bruijn graph
1394,run3,ENN,GATBMiniaPipeline,Staphylococcus_aureus,0.06690316980410331,0.9823064021362523,1.0006698681045054,1.0,1.0006698681045054,1.0,1.0,39.0,65.0,63844.0,53404.0,2670675.0,0.0,0.0,0.0,Even,Metagenomic,Multiple k-mer De Bruijn graph
1395,run3,ENN,IDBA-UD,Staphylococcus_aureus,0.06690243418003664,0.9805177322181272,1.0000056268033906,1.0,1.0000056268033906,0.9999782105735441,0.9985418217920079,43.0,74.0,53248.0,53248.0,2665812.0,0.0,0.0,0.0,Even,Metagenomic,Multiple k-mer De Bruijn graph
1396,run3,ENN,MEGAHIT,Staphylococcus_aureus,0.13352054965830262,0.9862110946821736,0.9998511910866817,0.9994743321221846,1.0003770571713402,0.9995092996729467,0.9926850712150519,14.0,40.0,181811.0,213210.0,2681291.0,0.0,3.0,7.0,Even,Metagenomic,Multiple k-mer De Bruijn graph
1397,run3,ENN,MetaHipMer2,Staphylococcus_aureus,0.06690169855596996,0.9810058187863674,1.0006880031374443,1.0,1.0006880031374443,0.9999631930066711,0.9974603174603175,42.0,69.0,53350.0,53246.0,2667139.0,0.0,0.0,0.0,Even,Metagenomic,Multiple k-mer De Bruijn graph
1398,run3,ENN,metaSPAdes,Staphylococcus_aureus,0.3813993776620396,0.9862677377353077,1.0000264782607884,1.0,1.0000264782607884,0.9997323481242683,0.9964028776978417,8.0,19.0,360908.0,360908.0,2681445.0,0.0,0.0,0.0,Even,Metagenomic,Multiple k-mer De Bruijn graph
1399,run3,ENN,MINIA,Staphylococcus_aureus,0.033342896446200136,0.9565227785992246,1.0005914076694578,0.9999996156970832,1.000591792199802,0.9999993787469326,0.9998912807131985,112.0,175.0,29647.0,29165.0,2600575.0,0.0,0.0,0.0,Even,Genomic,Single k-mer De Bruijn graph
1400,run3,ENN,SKESA,Staphylococcus_aureus,0.06460691927997117,0.9754470755265229,1.0000180993700665,1.0,1.0000180993700665,0.9999997114012106,0.9999789322883749,43.0,73.0,53048.0,53048.0,2652026.0,0.0,0.0,0.0,Even,Genomic,Multiple k-mer De Bruijn graph
1401,run3,ENN,SPAdes,Staphylococcus_aureus,0.2113058062807583,0.9822295294212845,0.999986893673239,0.999973038787075,1.0000138552597186,0.9969268597535255,0.9349904397705545,14.0,24.0,214432.0,214432.0,2670466.0,0.0,0.0,0.0,Even,Genomic,Multiple k-mer De Bruijn graph
1402,run3,ENN,Unicycler,Staphylococcus_aureus,0.30929902382686353,0.9821401510971833,0.9999662949498974,1.0,0.9999662949498974,0.9999913158361374,0.999787657085497,14.0,25.0,223263.0,164016.0,2670223.0,0.0,0.0,0.0,Even,Genomic,Multiple k-mer De Bruijn graph
1403,run3,ENN,VelvetOptimiser,Staphylococcus_aureus,0.033342896446200136,0.9575739853905061,1.0004609298568468,1.0,1.0004609298568468,1.0,1.0,104.0,164.0,32297.0,30086.0,2603433.0,0.0,0.0,0.0,Even,Genomic,Multiple k-mer De Bruijn graph
1404,run3,ENN,ABySS,Staphylococcus_aureus_plasmid1,0.9996843932460154,0.9996843932460154,1.0,1.0,1.0,1.0,1.0,0.0,1.0,6335.0,6335.0,6335.0,0.0,0.0,0.0,Even,Genomic,Single k-mer De Bruijn graph
1406,run3,ENN,GATBMiniaPipeline,Staphylococcus_aureus_plasmid1,0.9998421966230078,0.9998421966230078,1.0,1.0,1.0,1.0,1.0,0.0,1.0,6336.0,6336.0,6336.0,0.0,0.0,0.0,Even,Metagenomic,Multiple k-mer De Bruijn graph
1407,run3,ENN,IDBA-UD,Staphylococcus_aureus_plasmid1,0.9998421966230078,0.9998421966230078,1.0,1.0,1.0,1.0,1.0,0.0,1.0,6336.0,6336.0,6336.0,0.0,0.0,0.0,Even,Metagenomic,Multiple k-mer De Bruijn graph
1408,run3,ENN,MEGAHIT,Staphylococcus_aureus_plasmid1,0.9998421966230078,0.9998421966230078,1.0,1.0,1.0,1.0,1.0,0.0,1.0,6336.0,6336.0,6336.0,0.0,0.0,0.0,Even,Metagenomic,Multiple k-mer De Bruijn graph
1409,run3,ENN,MetaHipMer2,Staphylococcus_aureus_plasmid1,0.9995265898690232,0.9995265898690232,1.0,1.0,1.0,1.0,1.0,0.0,1.0,6334.0,6334.0,6334.0,0.0,0.0,0.0,Even,Metagenomic,Multiple k-mer De Bruijn graph
1410,run3,ENN,metaSPAdes,Staphylococcus_aureus_plasmid1,0.9998421966230078,0.9998421966230078,1.0,1.0,1.0,1.0,1.0,0.0,1.0,6336.0,6336.0,6336.0,0.0,0.0,0.0,Even,Metagenomic,Multiple k-mer De Bruijn graph
1411,run3,ENN,MINIA,Staphylococcus_aureus_plasmid1,0.9998421966230078,0.9998421966230078,1.0,1.0,1.0,1.0,1.0,0.0,1.0,6336.0,6336.0,6336.0,0.0,0.0,0.0,Even,Genomic,Single k-mer De Bruijn graph
1412,run3,ENN,SKESA,Staphylococcus_aureus_plasmid1,0.941612750512861,0.941612750512861,1.0,1.0,1.0,1.0,1.0,0.0,1.0,5967.0,5967.0,5967.0,0.0,0.0,0.0,Even,Genomic,Multiple k-mer De Bruijn graph
1413,run3,ENN,SPAdes,Staphylococcus_aureus_plasmid1,0.9998421966230078,0.9998421966230078,1.0,1.0,1.0,1.0,1.0,0.0,1.0,6336.0,6336.0,6336.0,0.0,0.0,0.0,Even,Genomic,Multiple k-mer De Bruijn graph
1414,run3,ENN,Unicycler,Staphylococcus_aureus_plasmid1,0.9853242859397191,0.9853242859397191,1.0,1.0,1.0,1.0,1.0,0.0,1.0,6244.0,6244.0,6244.0,0.0,0.0,0.0,Even,Genomic,Multiple k-mer De Bruijn graph
1415,run3,ENN,VelvetOptimiser,Staphylococcus_aureus_plasmid1,0.9998421966230078,0.9998421966230078,1.0,1.0,1.0,1.0,1.0,0.0,1.0,6336.0,6336.0,6336.0,0.0,0.0,0.0,Even,Genomic,Multiple k-mer De Bruijn graph
1416,run3,ENN,ABySS,Staphylococcus_aureus_plasmid2,0.9995487364620939,0.9995487364620939,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2215.0,2215.0,2215.0,0.0,0.0,0.0,Even,Genomic,Single k-mer De Bruijn graph
1418,run3,ENN,GATBMiniaPipeline,Staphylococcus_aureus_plasmid2,0.9995487364620939,0.9995487364620939,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2215.0,2215.0,2215.0,0.0,0.0,0.0,Even,Metagenomic,Multiple k-mer De Bruijn graph
1419,run3,ENN,IDBA-UD,Staphylococcus_aureus_plasmid2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Even,Metagenomic,Multiple k-mer De Bruijn graph
1420,run3,ENN,MEGAHIT,Staphylococcus_aureus_plasmid2,0.9995487364620939,0.9995487364620939,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2215.0,2215.0,2215.0,0.0,0.0,0.0,Even,Metagenomic,Multiple k-mer De Bruijn graph
1421,run3,ENN,MetaHipMer2,Staphylococcus_aureus_plasmid2,0.9986462093862816,0.9986462093862816,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2213.0,2213.0,2213.0,0.0,0.0,0.0,Even,Metagenomic,Multiple k-mer De Bruijn graph
1422,run3,ENN,metaSPAdes,Staphylococcus_aureus_plasmid2,0.9368231046931408,0.9368231046931408,1.0,1.0,1.0,0.9995183044315993,0.9995183044315993,0.0,1.0,2076.0,2076.0,2076.0,0.0,0.0,0.0,Even,Metagenomic,Multiple k-mer De Bruijn graph
1423,run3,ENN,MINIA,Staphylococcus_aureus_plasmid2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Even,Genomic,Single k-mer De Bruijn graph
1424,run3,ENN,SKESA,Staphylococcus_aureus_plasmid2,0.6588447653429603,0.6588447653429603,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1460.0,1460.0,1460.0,0.0,0.0,0.0,Even,Genomic,Multiple k-mer De Bruijn graph
1425,run3,ENN,SPAdes,Staphylococcus_aureus_plasmid2,1.0,1.0,1.0,0.6826863832409119,1.4648014440433212,0.6814540973505854,0.6814540973505854,0.0,1.0,3246.0,3246.0,2216.0,0.0,0.0,0.0,Even,Genomic,Multiple k-mer De Bruijn graph
1426,run3,ENN,Unicycler,Staphylococcus_aureus_plasmid2,0.9580324909747292,0.9580324909747292,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2123.0,2123.0,2123.0,0.0,0.0,0.0,Even,Genomic,Multiple k-mer De Bruijn graph
1427,run3,ENN,VelvetOptimiser,Staphylococcus_aureus_plasmid2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Even,Genomic,Multiple k-mer De Bruijn graph
1428,run3,ENN,ABySS,Staphylococcus_aureus_plasmid3,0.9996658870698296,0.9996658870698296,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2992.0,2992.0,2992.0,0.0,0.0,0.0,Even,Genomic,Single k-mer De Bruijn graph
1430,run3,ENN,GATBMiniaPipeline,Staphylococcus_aureus_plasmid3,0.9996658870698296,0.9996658870698296,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2992.0,2992.0,2992.0,0.0,0.0,0.0,Even,Metagenomic,Multiple k-mer De Bruijn graph
1431,run3,ENN,IDBA-UD,Staphylococcus_aureus_plasmid3,0.9512195121951219,0.9512195121951219,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2847.0,2847.0,2847.0,0.0,0.0,0.0,Even,Metagenomic,Multiple k-mer De Bruijn graph
1432,run3,ENN,MEGAHIT,Staphylococcus_aureus_plasmid3,0.9996658870698296,0.9996658870698296,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2992.0,2992.0,2992.0,0.0,0.0,0.0,Even,Metagenomic,Multiple k-mer De Bruijn graph
1433,run3,ENN,MetaHipMer2,Staphylococcus_aureus_plasmid3,0.9989976612094889,0.9989976612094889,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2990.0,2990.0,2990.0,0.0,0.0,0.0,Even,Metagenomic,Multiple k-mer De Bruijn graph
1434,run3,ENN,metaSPAdes,Staphylococcus_aureus_plasmid3,0.5603073838957567,0.9996658870698296,1.0183823529411764,1.0,1.0183823529411764,1.0,1.0,1.0,2.0,1677.0,1677.0,2992.0,0.0,0.0,0.0,Even,Metagenomic,Multiple k-mer De Bruijn graph
1435,run3,ENN,MINIA,Staphylococcus_aureus_plasmid3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Even,Genomic,Single k-mer De Bruijn graph
1436,run3,ENN,SKESA,Staphylococcus_aureus_plasmid3,0.7049782826595389,0.7049782826595389,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2110.0,2110.0,2110.0,0.0,0.0,0.0,Even,Genomic,Multiple k-mer De Bruijn graph
1437,run3,ENN,SPAdes,Staphylococcus_aureus_plasmid3,0.5603073838957567,0.5603073838957567,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1677.0,1677.0,1677.0,0.0,0.0,0.0,Even,Genomic,Multiple k-mer De Bruijn graph
1438,run3,ENN,Unicycler,Staphylococcus_aureus_plasmid3,0.9689274974941531,0.9689274974941531,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2900.0,2900.0,2900.0,0.0,0.0,0.0,Even,Genomic,Multiple k-mer De Bruijn graph
1439,run3,ENN,VelvetOptimiser,Staphylococcus_aureus_plasmid3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Even,Genomic,Multiple k-mer De Bruijn graph
1440,run3,EMS,ABySS,Bacillus_subtilis,0.10626033665070148,0.9860831697636762,1.000304559061146,0.9999997494104882,1.00030480972704,0.9999097818499045,0.9982537326464682,13.0,22.0,295233.0,295233.0,3989374.0,0.0,0.0,0.0,Even,Genomic,Single k-mer De Bruijn graph
1442,run3,EMS,GATBMiniaPipeline,Bacillus_subtilis,0.18997685677823514,0.9847802975867821,1.000073291277861,0.9999794201346877,1.0000938730750686,0.9998644089024218,0.9968479117415288,13.0,27.0,263445.0,263445.0,3984103.0,0.0,0.0,0.0,Even,Metagenomic,Multiple k-mer De Bruijn graph
1443,run3,EMS,IDBA-UD,Bacillus_subtilis,0.08476035036904825,0.9832334612970833,1.0000613397455154,0.9999768738526478,1.0000844678462837,0.9976957897080482,0.922165820642978,18.0,34.0,212969.0,212969.0,3977845.0,0.0,0.0,0.0,Even,Metagenomic,Multiple k-mer De Bruijn graph
1444,run3,EMS,MEGAHIT,Bacillus_subtilis,0.18999045153629418,0.9853656137155784,0.9999515862526028,0.9996827620416884,1.0002689095192214,0.9994211970638159,0.9956361724500525,13.0,27.0,263586.0,263586.0,3986471.0,0.0,1.0,3.0,Even,Metagenomic,Multiple k-mer De Bruijn graph
1445,run3,EMS,MetaHipMer2,Bacillus_subtilis,0.09783183383151942,0.9828730766198093,1.000048788007807,1.0,1.000048788007807,1.0,1.0,16.0,28.0,257424.0,257424.0,3976387.0,0.0,0.0,0.0,Even,Metagenomic,Multiple k-mer De Bruijn graph
1446,run3,EMS,metaSPAdes,Bacillus_subtilis,0.18994373500405495,0.9840563149257837,0.9999806589714492,0.9999984928799883,0.999982166064583,0.9982510920308967,0.9710247349823321,11.0,23.0,307964.0,307964.0,3981174.0,0.0,0.0,0.0,Even,Metagenomic,Multiple k-mer De Bruijn graph
1447,run3,EMS,MINIA,Bacillus_subtilis,0.032648182244899925,0.9771417737995396,1.0002840736618435,1.0,1.0002840736618435,0.9999929305140223,0.9991728701406121,66.0,117.0,65138.0,64960.0,3953200.0,0.0,0.0,0.0,Even,Genomic,Single k-mer De Bruijn graph
1448,run3,EMS,SKESA,Bacillus_subtilis,0.0977828927025069,0.9816483125073999,1.0,1.0,1.0,1.0,1.0,14.0,26.0,269493.0,263164.0,3971432.0,0.0,0.0,0.0,Even,Genomic,Multiple k-mer De Bruijn graph
1449,run3,EMS,SPAdes,Bacillus_subtilis,0.19005298742336574,0.9840948746031876,0.999921634227758,0.9999989952328824,0.9999226389171457,0.9999946739543819,0.9999107824075214,11.0,22.0,315090.0,315090.0,3981330.0,0.0,0.0,0.0,Even,Genomic,Multiple k-mer De Bruijn graph
1450,run3,EMS,Unicycler,Bacillus_subtilis,0.18991778137503315,0.9827551729908245,1.0000002515147475,1.0,1.0000002515147475,0.9999805077491274,0.9996124865446717,11.0,20.0,314937.0,314937.0,3975910.0,0.0,0.0,0.0,Even,Genomic,Multiple k-mer De Bruijn graph
1451,run3,EMS,VelvetOptimiser,Bacillus_subtilis,0.04598290965887786,0.9771867600898441,1.0002815311042546,1.0,1.0002815311042546,1.0,1.0,63.0,113.0,69010.0,65138.0,3953382.0,0.0,0.0,0.0,Even,Genomic,Multiple k-mer De Bruijn graph
1452,run3,EMS,ABySS,Enterococcus_faecalis,0.1894659857060117,0.9915400057355893,1.0153247416103102,1.0,1.0153247416103102,0.9999718407010377,0.9996144764107754,11.0,22.0,240110.0,240110.0,2821320.0,0.0,0.0,0.0,Even,Genomic,Single k-mer De Bruijn graph
1454,run3,EMS,GATBMiniaPipeline,Enterococcus_faecalis,0.1894818007501251,0.9909074039710521,1.0004777408920666,1.0,1.0004777408920666,0.9999899330210332,0.999708057609965,13.0,29.0,235254.0,235254.0,2819520.0,0.0,0.0,0.0,Even,Metagenomic,Multiple k-mer De Bruijn graph
1455,run3,EMS,IDBA-UD,Enterococcus_faecalis,0.13575528433340645,0.988124659097938,1.0002283395729552,0.9999992888246618,1.0002290509111886,0.9999739512010448,0.9987771323754203,28.0,53.0,113206.0,113206.0,2811602.0,0.0,0.0,0.0,Even,Metagenomic,Multiple k-mer De Bruijn graph
1456,run3,EMS,MEGAHIT,Enterococcus_faecalis,0.23483583281319412,0.9793167338630319,1.0001643615379647,0.999955509661938,1.0002088611683306,0.9980126653404956,0.9507002801120448,13.0,31.0,235316.0,238546.0,2786540.0,0.0,1.0,2.0,Even,Metagenomic,Multiple k-mer De Bruijn graph
1457,run3,EMS,MetaHipMer2,Enterococcus_faecalis,0.13575493288798168,0.9755408042195943,1.0005706471224831,1.0,1.0005706471224831,1.0,1.0,27.0,46.0,118895.0,114807.0,2775796.0,0.0,0.0,0.0,Even,Metagenomic,Multiple k-mer De Bruijn graph
1458,run3,EMS,metaSPAdes,Enterococcus_faecalis,0.18953030021873962,0.9792815893205576,1.0001618552705245,1.0,1.0001618552705245,0.9983355269253785,0.980796586059744,11.0,23.0,238611.0,238611.0,2786440.0,0.0,0.0,0.0,Even,Metagenomic,Multiple k-mer De Bruijn graph
1459,run3,EMS,MINIA,Enterococcus_faecalis,0.045908612943313255,0.9610556295933917,1.000722597254423,1.0,1.000722597254423,0.9999901244321548,0.9983606557377049,107.0,166.0,30453.0,30356.0,2734580.0,0.0,0.0,0.0,Even,Genomic,Single k-mer De Bruijn graph
1460,run3,EMS,SKESA,Enterococcus_faecalis,0.13570924498276513,0.9876614540281269,1.0,0.977173992412889,1.0233592049771483,0.9841615356405258,0.3664614256210311,19.0,40.0,152709.0,152709.0,2810284.0,0.0,1.0,1.0,Even,Genomic,Multiple k-mer De Bruijn graph
1461,run3,EMS,SPAdes,Enterococcus_faecalis,0.18946001113379105,0.9775763761197052,1.0001768773808342,0.9999982027867589,1.0001786749151924,0.999933351073219,0.9987269255251432,14.0,26.0,235662.0,215153.0,2781588.0,0.0,0.0,0.0,Even,Genomic,Multiple k-mer De Bruijn graph
1462,run3,EMS,Unicycler,Enterococcus_faecalis,0.23476800384621874,0.9781875397133329,0.9998408379611882,1.0,0.9998408379611882,0.9999993456978109,0.9999895211306401,8.0,20.0,377104.0,377104.0,2783327.0,0.0,0.0,0.0,Even,Genomic,Multiple k-mer De Bruijn graph
1463,run3,EMS,VelvetOptimiser,Enterococcus_faecalis,0.02819822365424518,0.9607337055843272,1.0006767473983635,1.0,1.0006767473983635,0.9999998135154318,0.9999696030153808,106.0,163.0,30356.0,29167.0,2733664.0,0.0,0.0,0.0,Even,Genomic,Multiple k-mer De Bruijn graph
1464,run3,EMS,ABySS,Escherichia_coli_plasmid,0.06612306489587026,0.5497468342923633,1.0136913817051392,0.9999347556599465,1.0137575236457437,0.9879048610562917,0.9461371055495104,0.0,26.0,2402.0,1304.0,60476.0,204.0,0.0,0.0,Even,Genomic,Single k-mer De Bruijn graph
1466,run3,EMS,GATBMiniaPipeline,Escherichia_coli_plasmid,0.19163325970165535,0.9572390847855137,1.0006077699590705,1.0,1.0006077699590705,1.0,1.0,7.0,10.0,18762.0,18762.0,105303.0,0.0,0.0,0.0,Even,Metagenomic,Multiple k-mer De Bruijn graph
1467,run3,EMS,IDBA-UD,Escherichia_coli_plasmid,0.32962447844228093,0.9635114129100876,1.0001698225354505,1.0,1.0001698225354505,1.0,1.0,3.0,5.0,26780.0,26780.0,105993.0,0.0,0.0,0.0,Even,Metagenomic,Multiple k-mer De Bruijn graph
1468,run3,EMS,MEGAHIT,Escherichia_coli_plasmid,0.3661312461934241,0.9791922332215223,1.0,1.0,1.0,1.0,1.0,3.0,4.0,28353.0,28353.0,107718.0,0.0,0.0,0.0,Even,Metagenomic,Multiple k-mer De Bruijn graph
1469,run3,EMS,MetaHipMer2,Escherichia_coli_plasmid,0.3657312716463498,0.9771650894943049,1.0009023675519793,1.0,1.0009023675519793,1.0,1.0,3.0,5.0,28267.0,28267.0,107495.0,0.0,0.0,0.0,Even,Metagenomic,Multiple k-mer De Bruijn graph
1470,run3,EMS,metaSPAdes,Escherichia_coli_plasmid,0.36780386702664375,0.9648658721717709,1.0,1.0,1.0,1.0,1.0,3.0,4.0,26814.0,26814.0,106142.0,0.0,0.0,0.0,Even,Metagenomic,Multiple k-mer De Bruijn graph
1471,run3,EMS,MINIA,Escherichia_coli_plasmid,0.13774577981401184,0.9409401219922369,1.0029369143077964,1.0,1.0029369143077964,1.0,1.0,17.0,21.0,7186.0,6638.0,103510.0,0.0,0.0,0.0,Even,Genomic,Single k-mer De Bruijn graph
1472,run3,EMS,SKESA,Escherichia_coli_plasmid,0.04218822438572091,0.3629496304780605,1.0,1.0,1.0,1.0,1.0,0.0,26.0,1404.0,0.0,39927.0,0.0,0.0,0.0,Even,Genomic,Multiple k-mer De Bruijn graph
1473,run3,EMS,SPAdes,Escherichia_coli_plasmid,0.3680038543001809,0.9783013808212204,1.0,1.0,1.0,1.0,1.0,3.0,5.0,26837.0,26837.0,107620.0,0.0,0.0,0.0,Even,Genomic,Multiple k-mer De Bruijn graph
1474,run3,EMS,Unicycler,Escherichia_coli_plasmid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Even,Genomic,Multiple k-mer De Bruijn graph
1475,run3,EMS,VelvetOptimiser,Escherichia_coli_plasmid,0.36757660876126064,0.9754015653549319,0.9989096094165012,1.0,0.9989096094165012,0.9985724121303063,0.9966627938595407,3.0,4.0,27962.0,27962.0,107301.0,194.0,0.0,0.0,Even,Genomic,Multiple k-mer De Bruijn graph
1476,run3,EMS,ABySS,Escherichia_coli,0.06006357448240811,0.9877138157825709,1.0169490013034097,0.9996309854442866,1.0173244088181461,0.9985468518142798,0.8852172788411795,50.0,100.0,100101.0,100101.0,4706885.0,45.0,0.0,0.0,Even,Genomic,Single k-mer De Bruijn graph
1478,run3,EMS,GATBMiniaPipeline,Escherichia_coli,0.027645121094951687,0.9706840971882099,1.001596936786856,0.9999956832712515,1.0016012604278113,0.999832064583035,0.9901215805471124,100.0,184.0,59575.0,59530.0,4625731.0,0.0,0.0,0.0,Even,Metagenomic,Multiple k-mer De Bruijn graph
1479,run3,EMS,IDBA-UD,Escherichia_coli,0.0189634354394584,0.9485100412680146,1.0044021520058795,0.9931895908438488,1.0112894469146663,0.99415538150649,0.46293053123175715,283.0,439.0,19013.0,18446.0,4520062.0,0.0,6.0,10.0,Even,Metagenomic,Multiple k-mer De Bruijn graph
1480,run3,EMS,MEGAHIT,Escherichia_coli,0.059565403696704225,0.9784735241323246,1.0005481624868562,0.9998763390530272,1.0006719065224259,0.9979794559669983,0.8633633633633634,55.0,141.0,74104.0,74550.0,4662851.0,0.0,3.0,5.0,Even,Metagenomic,Multiple k-mer De Bruijn graph
1481,run3,EMS,MetaHipMer2,Escherichia_coli,0.027644281717048226,0.967767678662636,1.001082866617243,1.0,1.001082866617243,1.0,1.0,110.0,193.0,56794.0,56352.0,4611833.0,0.0,0.0,0.0,Even,Metagenomic,Multiple k-mer De Bruijn graph
1482,run3,EMS,metaSPAdes,Escherichia_coli,0.11712868124917898,0.9792994719893299,0.9998997168715864,1.0,0.9998997168715864,0.9995152440254389,0.9874723655121592,39.0,86.0,107748.0,107748.0,4666787.0,0.0,1.0,3.0,Even,Metagenomic,Multiple k-mer De Bruijn graph
1483,run3,EMS,MINIA,Escherichia_coli,0.011346290810029054,0.7916355572231196,1.0022823140278547,1.0,1.0022823140278547,0.9999858140854814,0.9934354485776805,0.0,1122.0,4469.0,3200.0,3772487.0,0.0,0.0,0.0,Even,Genomic,Single k-mer De Bruijn graph
1484,run3,EMS,SKESA,Escherichia_coli,0.027602732510826927,0.9600514874405983,1.0056663712972633,0.9937570871014214,1.0119840998876082,0.9950550872540534,0.6552621792487914,70.0,180.0,62623.0,66235.0,4575062.0,0.0,2.0,4.0,Even,Genomic,Multiple k-mer De Bruijn graph
1485,run3,EMS,SPAdes,Escherichia_coli,0.09487572380605838,0.9744862692464107,1.0000947489690666,0.9999636125542286,1.0001311411867309,0.9997884850066031,0.9909936955869109,45.0,84.0,98812.0,96999.0,4643850.0,0.0,0.0,0.0,Even,Genomic,Multiple k-mer De Bruijn graph
1486,run3,EMS,Unicycler,Escherichia_coli,0.11707097401831607,0.9713700787798132,1.00000194426442,1.0,1.00000194426442,0.9997709761889391,0.9927631578947368,35.0,72.0,124073.0,119183.0,4629000.0,0.0,0.0,0.0,Even,Genomic,Multiple k-mer De Bruijn graph
1487,run3,EMS,VelvetOptimiser,Escherichia_coli,0.011654342500599105,0.797603114427773,1.0021789432835428,1.0,1.0021789432835428,0.9999991613749425,0.9990791896869244,0.0,1098.0,4593.0,3335.0,3800925.0,0.0,0.0,0.0,Even,Genomic,Multiple k-mer De Bruijn graph
1488,run3,EMS,ABySS,Lactobacillus_fermentum,0.0652095985321201,0.973619309590502,1.0149891998626466,1.0,1.0149891998626466,0.9999364367903942,0.9975174904084857,43.0,72.0,42368.0,42368.0,1855069.0,0.0,0.0,0.0,Even,Genomic,Single k-mer De Bruijn graph
1490,run3,EMS,GATBMiniaPipeline,Lactobacillus_fermentum,0.0640082337313215,0.9438995703113314,1.0014595958837729,1.0,1.0014595958837729,1.0,1.0,53.0,89.0,40446.0,40151.0,1798443.0,0.0,0.0,0.0,Even,Metagenomic,Multiple k-mer De Bruijn graph
